41,Caroline,Aminé,963128,2017-01-01,['portland hip hop'; 'rap'; 'pop rap'; 'hip hop'; 'underground hip hop']
42,Now and Later,Sage The Gemini,959972,2017-01-01,['pop rap'; 'hyphy'; 'dance pop'; 'southern hip hop'; 'trap'; 'rap']
43,Love Me Now,John Legend,950832,2017-01-01,['pop soul'; 'neo soul'; 'pop'; 'r&b'; 'urban contemporary']
44,The Mack,Nevada,949200,2017-01-01,['eurodance']
45,Alone,Alan Walker,936813,2017-01-01,['pop dance'; 'electro house']
46,Work,Rihanna,899368,2017-01-01,['barbadian pop'; 'pop'; 'dance pop'; 'post-teen pop'; 'urban contemporary']
47,Otra vez (feat. J Balvin),Zion & Lennox,893174,2017-01-01,['latin hip hop'; 'reggaeton'; 'latin'; 'trap latino'; 'reggaeton flow']
48,I Would Like,Zara Larsson,892922,2017-01-01,['pop'; 'scandipop'; 'dance pop'; 'swedish electropop'; 'post-teen pop'; 'tropical house'; 'swedish pop'; 'pop dance'; 'electropop'; 'edm']
49,Hear Me Now,Alok,873494,2017-01-01,['pop nacional'; 'slap house'; 'electro house']
50,Shed a Light,Robin Schulz,868259,2017-01-01,['german dance'; 'tropical house'; 'deep euro house'; 'pop dance'; 'deep house'; 'edm'; 'pop'; 'dance pop']
51,Bounce Back,Big Sean,859929,2017-01-01,['rap'; 'pop rap'; 'detroit hip hop'; 'trap'; 'southern hip hop'; 'hip hop']
52,Love Yourself,Justin Bieber,858762,2017-01-01,['canadian pop'; 'post-teen pop'; 'pop']
53,Cake By The Ocean,DNCE,830889,2017-01-01,['pop'; 'post-teen pop'; 'dance pop'; 'pop rock']
54,Party Monster,The Weeknd,829599,2017-01-01,['canadian pop'; 'canadian contemporary r&b'; 'pop']
55,Sorry,Justin Bieber,827170,2017-01-01,['canadian pop'; 'post-teen pop'; 'pop']
56,Ride,Twenty One Pilots,825398,2017-01-01,['modern rock'; 'rock']
57,La Bicicleta,Carlos Vives,810362,2017-01-01,['colombian pop'; 'champeta'; 'latin'; 'vallenato'; 'latin pop'; 'tropical']
58,Perfect Strangers,Jonas Blue,806283,2017-01-01,['tropical house'; 'uk dance'; 'pop dance'; 'pop'; 'dance pop'; 'edm']
59,Panda,Desiigner,788804,2017-01-01,['viral trap'; 'trap'; 'rap'; 'pop rap']
60,Too Good,Drake,786785,2017-01-01,['toronto rap'; 'canadian pop'; 'canadian hip hop'; 'rap'; 'pop rap'; 'hip hop']
61,"How Far I'll Go - From ""Moana""",Alessia Cara,778773,2017-01-01,['pop'; 'post-teen pop'; 'canadian pop'; 'canadian contemporary r&b'; 'dance pop'; 'electropop']
62,Sexual,NEIKED,770804,2017-01-01,['scandipop']
63,Into You,Ariana Grande,762502,2017-01-01,['pop'; 'post-teen pop'; 'dance pop']
64,Stressed Out,Twenty One Pilots,758614,2017-01-01,['modern rock'; 'rock']
65,Deja Vu,J. Cole,748367,2017-01-01,['north carolina hip hop'; 'conscious hip hop'; 'rap'; 'hip hop']
66,Shaky Shaky,Daddy Yankee,735912,2017-01-01,['reggaeton'; 'latin'; 'latin hip hop'; 'trap latino']
67,Faded,Alan Walker,713049,2017-01-01,['pop dance'; 'electro house']
68,The Greatest (feat. Kendrick Lamar),Sia,709411,2017-01-01,['pop'; 'australian dance'; 'australian pop'; 'dance pop']
69,Controlla,Drake,687222,2017-01-01,['toronto rap'; 'canadian pop'; 'canadian hip hop'; 'rap'; 'pop rap'; 'hip hop']
70,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,686053,2017-01-01,['moombahton'; 'pop'; 'edm'; 'dance pop'; 'pop dance'; 'pop rap'; 'electro house']
71,Traicionera,Sebastian Yatra,685732,2017-01-01,['reggaeton colombiano'; 'colombian pop'; 'reggaeton'; 'latin']
72,X (feat. Future),21 Savage,673320,2017-01-01,['atl hip hop'; 'rap'; 'trap'; 'hip hop']
73,Send My Love (To Your New Lover),Adele,672465,2017-01-01,['pop soul'; 'british soul'; 'uk pop'; 'pop']
74,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,672103,2017-01-01,['trap'; 'pop rap'; 'chicago bop'; 'nyc rap'; 'rap'; 'viral trap']
75,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,666941,2017-01-01,['mexican pop'; 'latin pop'; 'dance pop'; 'latin'; 'pop']
76,Hymn for the Weekend - Seeb Remix,Coldplay,655597,2017-01-01,['permanent wave'; 'pop']
77,i hate u; i love u (feat. olivia o'brien),gnash,653547,2017-01-01,['indie cafe pop'; 'pop'; 'alt z'; 'social media pop'; 'sad rap'; 'electropop'; 'pop rap']
78,Sucker for Pain (with Wiz Khalifa; Imagine Dragons; Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne,650717,2017-01-01,['rap'; 'pop rap'; 'new orleans rap'; 'trap'; 'hip hop']
79,Solo Dance,Martin Jensen,647007,2017-01-01,['tropical house'; 'pop dance'; 'danish electronic'; 'edm'; 'dance pop'; 'pop edm'; 'deep house'; 'pop'; 'electro house']
80,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,646550,2017-01-01,['san diego rap']
81,Deu Onda,MC G15,640703,2017-01-01,['funk carioca'; 'funk paulista'; 'funk ostentacao']
82,The Ocean (feat. Shy Martin),Mike Perry,621355,2017-01-01,['swedish tropical house'; 'tropical house'; 'pop dance'; 'pop edm'; 'deep tropical house'; 'edm'; 'electro house'; 'pop'; 'dance pop']
83,Needed Me,Rihanna,618514,2017-01-01,['barbadian pop'; 'pop'; 'dance pop'; 'post-teen pop'; 'urban contemporary']
84,Human,Rag'n'Bone Man,615851,2017-01-01,['neo soul']
85,Setting Fires,The Chainsmokers,599513,2017-01-01,['pop'; 'pop dance'; 'tropical house'; 'edm'; 'electropop'; 'dance pop']
86,The Greatest,Sia,597051,2017-01-01,['pop'; 'australian dance'; 'australian pop'; 'dance pop']
